Drug_Name,Pattern,PubChem_ID,Source,norm,SMILES
Dexpanthenol,ADReCS: Respiratory disorders NEC,131204,ADReCS_only,dexpanthenol,CC(C)(CO)C(O)C(=O)NCCCO
Dexrazoxane,ADReCS: Respiratory tract infections; Thoracic disorders (excl lung and pleura),71384,ADReCS_only,dexrazoxane,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
Diatrizoate sodium,ADReCS: Asthma,23672589,ADReCS_only,diatrizoate,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I
Diatrizoic acid,ADReCS: Asthma,2140,ADReCS_only,diatrizoic acid,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
Dichlorphenamide,ADReCS: Asthma,3038,ADReCS_only,dichlorphenamide,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
Dicloxacillin,ADReCS: Bronchial disorders (excl neoplasms),18381,ADReCS_only,dicloxacillin,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
Dicyclomine,ADReCS: Respiratory disorders NEC; Thoracic disorders (excl lung and pleura),3042,ADReCS_only,dicyclomine,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
Dienogest,ADReCS: Respiratory signs and symptoms NEC,68861,ADReCS_only,dienogest,CC12CC=C3C4=C(CCC3C1CCC2(O)CC#N)CC(=O)CC4
Diethylpropion,ADReCS: Respiratory signs and symptoms NEC,7029,ADReCS_only,diethylpropion,CCN(CC)C(C)C(=O)c1ccccc1
Dimercaprol,ADReCS: Respiratory tract infections,3080,ADReCS_only,dimercaprol,OCC(S)CS
Dimethyl fumarate,ADReCS: Bronchial disorders (excl neoplasms),637568,ADReCS_only,dimethyl,COC(=O)C=CC(=O)OC
Dinoprostone,ADReCS: Asthma,5280360,ADReCS_only,dinoprostone,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O
Diroximel fumarate,"ADReCS: Respiratory, thoracic and mediastinal disorders",73330464,ADReCS_only,diroximel,COC(=O)C=CC(=O)OCCn1c(O)ccc1O
Docusate,ADReCS: Lower respiratory tract disorders (excl obstruction and infection),11339,ADReCS_only,docusate,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O
Dofetilide,ADReCS: Asthma,71329,ADReCS_only,dofetilide,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
Domperidone,ADReCS: Respiratory signs and symptoms NEC,3151,ADReCS_only,domperidone,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
Dopamine,ADReCS: Respiratory disorders NEC,681,ADReCS_only,dopamine,NCCc1ccc(O)c(O)c1
Doripenem,ADReCS: Interstitial lung disease,73303,ADReCS_only,doripenem,CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(CNS(N)(=O)=O)C3)C(C)C12
Doxacurium chloride,ADReCS: Bronchial disorders (excl neoplasms),60168,ADReCS_only,doxacurium chloride,COc1cc(CC2c3c(cc(OC)c(OC)c3OC)CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCc3cc(OC)c(OC)c(OC)c3C2Cc2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC
Doxapram,ADReCS: Bronchial disorders (excl neoplasms),3156,ADReCS_only,doxapram,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O
Doxazosin,ADReCS: Bronchial disorders (excl neoplasms),3157,ADReCS_only,doxazosin,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
