Drug_Name,SMILES,PubChem_ID,CID,CID_Source,score,status,PUG_View,Assay_Summary
muzolimine,CC(c1ccc(Cl)c(Cl)c1)n1[nH]c(N)cc1=O,,41386.0,Drug_Name,0,ok,0,0
zolimidine,CS(=O)(=O)c1ccc(-c2cn3ccccc3n2)cc1,,14652.0,Drug_Name,2,ok,2,0
perisoxal,OC(CN1CCCCC1)c1cc(-c2ccccc2)on1,,71109.0,Drug_Name,0,ok,0,0
sotalol,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,,5253.0,Drug_Name,64,ok,64,0
quinisocaine,CCCCc1cc2ccccc2c(OCCN(C)C)n1,,6857.0,Drug_Name,0,ok,0,0
pilsicainide,Cc1cccc(C)c1NC(=O)CC12CCCN1CCC2,,4820.0,Drug_Name,0,ok,0,0
nimustine,Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1,,39214.0,Drug_Name,0,ok,0,0
oxaflozane,CC(C)N1CCOC(c2cccc(C(F)(F)F)c2)C1,,432824.0,Drug_Name,0,ok,0,0
stepronin,CC(SC(=O)c1cccs1)C(=O)NCC(=O)O,,54120.0,Drug_Name,0,ok,0,0
tilidine,CCOC(=O)C1(c2ccccc2)CCC=CC1N(C)C,,30131.0,Drug_Name,1,ok,1,0
carprofen,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,,2581.0,Drug_Name,3,ok,3,0
chlormezanone,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,,2717.0,Drug_Name,61,ok,61,0
tryparsamide,NC(=O)CNc1ccc([As](=O)(O)O)cc1,,23665572.0,Drug_Name,15,ok,15,0
guaiacol carbonate,COc1ccccc1OC(=O)Oc1ccccc1OC,,11104.0,Drug_Name,4,ok,4,0
ensulizole,O=S(=O)(O)c1ccc2[nH]c(-c3ccccc3)nc2c1,,33919.0,Drug_Name,16,ok,16,0
tybamate,CCCCNC(=O)OCC(C)(CCC)COC(N)=O,,20266.0,Drug_Name,71,ok,71,0
nandrolone,CC12CCC3C4=C(CCC3C1CCC2O)CC(=O)CC4,,9904.0,Drug_Name,70,ok,70,0
ropivacaine,CCCN1CCCCC1C(=O)Nc1c(C)cccc1C,,175805.0,Drug_Name,58,ok,58,0
acetarsol,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,,1985.0,Drug_Name,20,ok,20,0
nifuroxazide,O=C(NN=Cc1ccc([N+](=O)[O-])o1)c1ccc(O)cc1,,5337997.0,Drug_Name,1,ok,1,0
furalazine,Nc1ncc(C=Cc2ccc([N+](=O)[O-])o2)nn1,,6436102.0,Drug_Name,0,ok,0,0
meturedepa,CCOC(=O)NP(=O)(N1CC1(C)C)N1CC1(C)C,,15456.0,Drug_Name,0,ok,0,0
